Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2022,3,13952770.0,6031970.0,2871541.0,557.11,235.23,11091128.0
2022,2,14683330.0,5979214.0,2723285.0,556.243,231.609,10958684.0
2022,1,15332400.0,6073426.0,2219533.0,545.814,251.996,10624009.0
2021,4,16576150.0,5984240.0,2072236.0,523.107,252.596,10489794.0
2021,3,19506310.0,5826257.0,1566048.0,492.415,250.19,10085541.0
2021,2,20185870.0,5641731.0,1472246.0,476.968,253.552,9863084.0
2021,1,21752110.0,5424782.0,1362976.0,434.548,250.455,9647972.0
2020,4,22139490.0,5371824.0,1311199.0,421.554,253.036,9571562.0
2020,3,22638890.0,5259351.0,1170879.0,413.259,248.821,9356199.0
2020,2,22955330.0,5005115.0,1106725.0,376.667,247.016,9031056.0
2020,1,22994570.0,4903674.0,1047817.0,352.333,209.145,8812426.0
2019,4,24145750.0,4883869.0,941295.0,340.144,213.298,8793181.0
2019,3,29098050.0,4800091.0,852221.0,338.241,264.326,9164684.0
2019,2,29904570.0,4635575.0,760794.0,308.027,265.328,8960181.0
2019,1,31327890.0,4435439.0,637099.0,276.419,166.389,8648135.0
2018,4,33290270.0,4313831.0,388013.0,264.299,178.485,8473655.0
2018,3,35214470.0,4238171.0,247366.0,246.181,93.87,8347035.0
2018,2,35572160.0,4038141.0,226285.0,194.267,94.535,8110444.0
2018,1,35742940.0,3981129.0,217460.0,165.3,98.87,8037053.0
2017,4,35843110.0,3818157.0,211425.0,155.775,100.554,7870222.0
2017,3,36225750.0,3670221.0,193964.0,106.443,131.74,7724943.0
2017,2,37235180.0,3383434.0,180777.0,85.813,56.122,7429664.0
2017,1,37088980.0,3276251.0,180146.0,84.813,55.746,7305854.0
2016,4,37227940.0,3210602.0,178070.0,85.119,55.088,7251673.0
2016,3,37764420.0,3124855.0,169898.0,81.455,54.3,7206950.0
2016,2,37820850.0,3035272.0,167788.0,85.452,59.482,7130079.0
2016,1,37924930.0,2806359.0,164371.0,85.37,58.763,6907356.0
2015,4,38030240.0,2898226.0,139187.0,85.726,58.668,6984831.0
2015,3,37886960.0,2840203.0,162663.0,84.53,58.976,6935068.0
2015,2,37678210.0,2756294.0,150839.0,82.077,59.157,6816188.0
2015,1,37561530.0,2668248.0,168188.0,79.098,66.045,6737732.0
2014,4,37640380.0,2536219.0,149682.0,76.984,71.573,6598496.0
2014,3,37147640.0,2569868.0,155494.0,85.096,70.049,6595271.0
2014,2,37088820.0,2461670.0,149363.0,72.405,72.148,6464468.0
2014,1,36970660.0,2407330.0,150323.0,70.749,72.93,6398398.0
